Redacao	Nota
O Brasil tem razões para temer sim, apesar de não ter índice de terrorismo, terá que investir em segurança, conforto e nas principais vias de acesso ao estádio. Entretanto apesar de que a Copa Das Confederações esta sendo realizada aqui no Brasil é um teste (uma pré-copa do mundo) e nisso poderia avaliar o que está faltando, para ter uma Copa quase perfeita sem muitos erros e falhas. Para que haja uma segurança exemplar os policiais e bombeiros estão fazendo simulações ou algum ato parecido que possa ocorrer durante a Copa do Mundo. E esses treinos são ótimos para nossa própria segurança e até para os estrangeiros. Eles poderiam colocar em pontos estratégicos, postos de atendimento médico caso aconteça de alguma pessoa passar por necessidade médica. Nos aeroportos do Brasil, terá que ter uma fiscalização rígida para que nenhum estrangeiro entre com qualquer tipo de armas ou bombas que possa causar um grande ato de terrorismo . O ato de terrorismo nós não sabemos quando acontece e nem porque , e por causa disso teremos que preparar e prevenir para qualquer tipo de acontecimento. Como em 2014 terá um evento onde estará pessoas de todo o tipo de País , é uma grande dúvida que virá pessoas com os pensamentos de fazer algo que possa prejudicar uma boa parte das pessoas que estão vindos para prestigiar seus times. É por isso que devemos fazer testes para que quando houver a Copa, os agentes de segurança do País estejam preparados.	2
Os eventos esportivos dos quais o Brasil será palco são um grande termômetro para o país. Será graças a esses acontecimentos que o Brasil poderá medir muitos aspectos, dentre eles a segurança, que nos dias de hoje é tão precária e ridícula que às vezes chega a ser motivo de piada nas rodas de conversa. Sim, infelizmente o brasileiro parece já ter perdido as esperanças de melhorar a segurança de seu país, mas este vai ser obrigado a rever seus conceitos diante de um mundo, que vai observar e julgar o nosso país. O ser humano, no seu infinito poder de adaptação ao meio, vem exercendo o seu papel no Brasil,  já estamos acostumados a andar nas ruas de maneira preocupada, sabemos a melhor maneira de se portar diante de um assalto: “não reaja”, é o que dizem os que tinham o dever de nos proteger. Como se o culpado de um assassinato fosse a vítima. Por sorte, no Brasil não é muito provável que sejam relatados casos de terrorismo, e não é isso que devemos temer, mas sim os mal intencionados, os quais nem mesmo a polícia consegue corrigir e punir exemplarmente. A proposta do governo, é de colocar as forças armadas nas ruas, para garantir a segurança dos turistas durante essas datas, é uma proposta bastante prudente, já que não há nada mais correto do que o exército de um país, trabalhe em prol da segurança de sua população, pois a polícia se mostra incompetente para desempenhar tal função, a prova é o Brasil ser o país com maior número de empresas que fornecem segurança particular, o que mostra o fracasso da segurança que é fornecida pelo estado . E é claro que com a inserção desse grupo de militares nas ruas, as possibilidades de atentados terroristas se fazem cada vez mais remotas, ainda assim, convém redobrar as atenções, já que é uma ocasião perfeita para protestos, que geram confusões, e que por sua vez, manchariam ainda mais a nossa reputação no exterior. Sendo assim, tudo deve ser analisado e nenhuma hipótese descartada, mas o que deve realmente nos preocupar são os ladrões que já não temem a lei, tampouco a polícia, ficando atento às possíveis reações terroristas, e a maneira mais eficaz de combater os dois problemas com uma só ideia é utilizar o exército brasileiro, muito pouco utilizado, para ajudarem a policia na segurança e patrulhamento das cidades e garantindo a segurança dos turistas mas também da população brasileira, utilizando de todos os artifícios possíveis para isso, pois como dizia Nicolau Maquiavel, “Os fins justificam os meios”, e nesse casso o fim é nossa segurança e nossa imagem.	6
Um atentado terrorista em nosso país parece inimaginável. O Brasil exibe um estado de harmonia e pacificidade perante o cenário mundial. São insignificativos os conflitos armados em que se envolve.  Não mostra nenhuma rivalidade perigosa, isto é, que coloque um conflito bélico em iminência. Apesar disso, o país receberá um evento de grande porte e deve redobrar a segurança contra ataques terroristas. A violência no país do futebol já é, a muito tempo, um grande problema interno e agora como futuro sediador da copa do mundo , deve melhorar intensamente o sistema de segurança, para controlar os criminosos locais e internacionais que podem eclodir. Um evento esportivo como a copa, faz a atenção ser toda desviada para um único local e como consequência,  essa região fica vulnerável, pois atentados que pretendem causar um impacto mundial miram nessa zona. Desse forma, toda nação, inclusive a nossa, fica suscetível à ataques terroristas nessa condição. É preciso, portanto, desfazer o mito de que no Brasil é pouco provável ataques como, em uma comparação radical, ao World Trade Center, nos Estados Unidos. Apesar de um longo contexto colaborar para isso, a ocasião também faz a diferença. Pelo menos em 2014, quando inúmeros estrangeiros estiverem aqui para apreciar partidas de futebol, não estaremos livres.	4
Sediar eventos de grande porte em qualquer país que seja, requer um investimento alto em segurança, para que desta forma, situações de terrorismo sejam inibidas. A mídia especula diariamente se o Brasil está realmente preparado para previnir eventuais ações de terror como aconteceu em Boston, onde lançou-se uma bomba em meio a uma maratona. O governo brasileiro aplicou cerca de dois bilhões de reais em ações policiais para receber a Copa das Confederações e a Jornada Mundial da Juventude, como eventos teste para realizar ações contraterrorismo, caso venha a ocorrer. Tendo em vista que estes  eventos internacionais estão perto de acontecer, o Brasil se arma a fim de que tenha um bom desempenho, principalmente na segurança, pois eventos como este, atrai  milhares de pessoas de diversas nações, e com isto deve-se atentar os olhos para os riscos de uma possível violência. Então espera-se que o policiamento seja eficaz e traga excelentes resultados para que o país esteja apto a sediar a Copa. Por essa razão, para que não seja grande o número de boletim de ocorrências em delegacias, o governo apostou no alto investimento a segurança, com policiais com treinamentos diversos, afim de proteger a sociedade contra possíveis ataques.	2
O Brasil é um país pacífico, não está na rota do terror, mas receberá países que estão, e os terroristas podem identificar na copa do mundo do Brasil,  uma oportunidade para chegarem a seus alvos, tendo em vista que a segurança no Brasil é menos rigorosa e em muitos momentos falha. Alguns antropólogos e estudos sociais apontam para o surgimento de um novo tipo de terrorismo, conhecido como “terrorismo individual”, como o atentado na maratona de Boston, que ao que tudo indica não teve raízes em organizações criminosas, e o atentado contra um militar de Londres, atacado à facadas, esses são atentados de cidadãos independentes, que são motivados por ideologias radicais islâmicas, por isso são muito mais difíceis de prever e rastrear, por envolverem menos pessoas e planejamentos mais curtos, são mais difíceis até de serem evitados, pois por mais que se faça não se pode, prender uma cultura baseada em soluções violentas e uma visão sentenciadora do mundo. É papel do Brasil cuidar para que a copa seja segura para todos, os investimentos em segurança não são baseados em alarmismo mas em tendências sociais, e estão longe do ideal, se para países que convivem com o medo de atentados evita-los é cada vez mais difícil para o Brasil, um país acolhedor que não costuma pensar em terrorismo, será mais difícil ainda, por isso os investimentos devem ser maiores e mais bem aplicados para realmente garantirem a segurança da Copa do Mundo.	4
Brasil, um país com expectativa de melhoria e influenciado por várias culturas. Hoje com novos objetivos e conquistas, a espera de um grande evento: A Copa do Mundo e a chegada do Papa Francisco. O país ainda esse ano irá receber a Copa das Confederações, que será um torneio esportivo internacional com o objetivo de um treinamento para a Copa do Mundo em 2014 e as Olimpíadas em 2016. Mas na realidade o que preocupa é a segurança das pessoas que estarão presente durante esse evento, e também com a segurança do Papa Francisco que virá ao Brasil ainda esse ano. Sabemos que no Brasil há alto índice de assalto e criminalidade, mas o que deixa a organização desse evento tensa é o fato de acontecer um ataque terrorista, embora que não seja tão evidente isso acontecer. Mas precisamos prevenir e ficar atento , pois tudo estará voltado para o nosso país, pessoas importantes estarão aqui, isso pode ser um alvo muito grande para terroristas, a imprensa estará filmando e sempre haverá noticiários, que seria algo surpreendente para terroristas, que as pessoas assistam ao vivo o seu ataque. O que esperamos é a segurança de todos, tanto pessoas nacionais quanto internacionais . Acreditamos que o Brasil está se estabilizando e precavendo tal situação, e disponibilizando militares e seguranças capacitados para garantir conforto dos civis. Pois supostos acontecimentos sempre vem  à tona quando se fala em um grande evento, mas prevenções está nos planos de quem pensa na possibilidade de algo acontecer (o chamado plano B).	2.5
Nesta nossa pátria chamada Brasil, onde podemos também chama-la de “coração de mãe”, ou seja sempre cabe mais um, e sendo assim podemos facilmente acolher um terrorista sem nem mesmo saber e com isto nos deixa mais vulnerável a um ataque terrorista. Com a chegada de grandes eventos tais como a Copa das Confederações neste mês de junho 2013, Copa do Mundo em 2014 e as Olimpíadas em 2016 temos que temer por um ataque, pois, nestas redes terroristas espalhadas pelo mundo sabem o nosso despreparo relacionado a o assunto tanto taticamente como judicialmente , até mesmo porque nunca sofremos este tipo de situação. Em nosso cotidiano nos deparamos com vários casos de perigo eminente como sequestros, assaltos, tráfico de drogas etc...; mas nada que se compare a uma ação terrorista que não visa valores econômicos mas sim que seus ideais e causas sejam difundidas e defendidas a qualquer custo. A o meu ver nos falta em muito o preparo para enfrentar o terrorismo, pois, nunca vivenciamos e, sendo assim, torna-se difícil combater o que não se tem experiência . Então temos que começar a enviar equipe para treinar em países que sofrem com este tipo de atitude, podendo assim ter um melhor preparo e consequentemente uma melhor instrução para nossos agentes policiais.	3
Com tantas manifestações que acontecerá em nosso país nos próximos meses, o Brasil tem sim razões para temer o terrorismo, pois qualquer país estará apto a ser o país-alvo de terroristas em grandes acontecimentos internacionais. Embora, isto não convém a ser uma ação positiva,  os governantes devem estar cientes que sim, poderá acontecer uma catástrofe nas realizações ocorridas no país. Contudo, todos já deveriam estar preparados para tamanha violência, caso ocorra. Se bem que essa não e a realidade, pois no código penal brasileiro não há conceituação de terrorismo, ou seja, se tivermos um ataque terrorista não haverá penalizações para os autores da violência.  Apesar de existirem tropas altamente qualificadas para o combate, não será o suficiente para a proteção da população e visitantes. O ato terrorista tem como objetivo testar o país que será atacado, ou seja, a capacidade de defesa e prevenção. O que se tem de positividade e que a defesa brasileira e capacitada para tal ataque, o que falta são leis que castiguem esses malfeitores... O assunto que se trata é algo que talvez possa acontecer, por isso se destaca a prevenção a capacidade de antever. Para que a segurança do nosso país entre em rigor pelo menos nesta temporada pois se há como combater por que que não há como acusar? Se liga Brasil.	3.5
O ano de 2013 para o brasil tem tudo pra ser ser perfeito. Com a jornada mundial da juventude, copa das confideraçoes e rock rio , vamos ter o mundo voltado para o rio de janeiro . A cidade do rio de janeiro já estar  se preparando desde cedo para receber esse eventos e outros muito importante como a copa mundial e as olimpiadas de 2016, temos a rede hospedeira, trerinamento de policias e muitos curso para receber os extrangeiros . Apesar de nao existir uma lei que possa punir o terrorismo, o brasil tem crescido muito em segurança publica , um dos exemplo mais conhecido é a chegada da policia pacificadora nos morro na cidade do rio de janeiro e outros estado . Estamos necessitando de mas vigor na lei, com uma fiscalização rigida sem distinção de pessoas por sua aparencia , fiscalização essa que deve ser feito nos aeoroportos, fronteiras com policias incestigativo junto com a policia de outros país	3.5
Ao longo dos anos o assunto "terrorismo" é  sinônimo de países como:  Paquistão, Iraque ou Afeganistão, mas essa realidade mudou. Recentemente o ataque à Maratona em Boston, nos Estados Unidos, mostrou ao mundo essa mudança. E com esses importantes eventos que aconteceram em nosso país, como a Copa das Confederações, nos deixa em dúvida, será que corremos o risco de sermos atacádos por bombas ou algo do gênero?  Sabemos que existem meios de defesa e não ficaremos sem essas seguranças simplesmente por ainda estarmos na lista de países subdesenvolvidos. Os terroristas buscam atentar locais com mais visibilidade pública, em um desses casos, pessoas do mundo todo estaram presentes. E agora? Temer ou não temer um ataque? Sim devemos temer e prevenir, não sabemos quando ou onde ocorrerá. E não podemos sair por aí com medo de tudo e de todos. Suponhamos que na entrada dos estádiuns instalem máquinas detectoras de metais e outros elementos, assim saberemos exatamente quem está armado ou não.  Brigas entre times rivais ou gangues também é um tipo de terrorismo e isso deve ser combatido, pois crianças entre outras pessoas indefesas estaram no recinto. Com o apôio e colaboração de todos evitaremos essas péssimas situações devastadoras .	2.5
Com os preparativos para os grandes eventos que estão perto de acontecer no Brasil, tornou-se inevitável a discussão sobre segurança no país. Mesmo estando fora da faixa de terrorismo no mundo, o Brasil deve temer uma futura ação terrorista que eventualmente pode acontecer devido ao fato de que o mundo estará com todos os holofotes voltados ao Brasil e para esses eventos. Além disso, o Brasil não é considerado um modelo no quesito de segurança, pelo contrário, existe uma grande defasagem nas leis que regem o país, o que dificulta os procedimentos a serem tomados no caso de ataques terroristas. Devido à legislação regente , o país possui dificuldades até mesmo de proteger-se de pequenos protestos ocorridos por protestantes locais. Com a chegada de visitantes de todos os países, a incapacidade de julgamento e punição que as leis Brasileiras apresentam às autoridades podem facilitar ataques de terroristas que saibam quão fácil é livrar-se de um julgamento no Brasil. Portanto, não há razões para desespero, mas também não é possível manter absoluta tranquilidade. O Brasil precisa investir intensamente em segurança e em treinamento de policiais. Ainda seria interessante, apenas como prudência, incluir na legislação leis de penalidades para terroristas. Essas seriam maneiras de evitar que o país futuramente entrasse na faixa de países que sofrem com ataques terroristas, e proporcionaria maior tranquilidade para visitantes e brasileiros durante os grandes eventos.	6.5
O Brasil não tem muito com o que se preocupar em relação a atos terroristas de cunho religioso ou cultural, que são os mais comuns, tendo em vista que é um país cosmopolita e tolerante com diferentes culturas e religiões. Remontando-se á época da colonização pode-se buscar um contexto de miscigenação para a formação da cultura e identidade brasileira, fazendo com que o país tenha todo um histórico de tolerância com o estrangeiro.  Isso associado ás grandes levas de imigrantes que vieram para o Brasil durante o seculo XIX e inicio do seculo XX contribuiu para um quadro de aceitação e incorporação de diferentes culturas e religiões. Situação totalmente oposta está presente em países que são os alvos favoritos dos terroristas, a exemplo dos EUA e da Inglaterra. Nesses países o xenofobismo é maior, assim como a formação de grupos radicalistas a exemplo dos skinheads além das dificuldades de se encontrar um emprego digno quando se é estrangeiro ou adepto á uma religião "vista com maus olhos". Além disso, o Brasil não é foco de tensão global e vem desenvolvendo uma razoável política externa bilateral, no sentido de evitar conflitos e colaborar para a tranquilidade social. A segurança nacional deve se voltar para o território interno, para a violência crônica em que vive o país atualmente, pois é esta forma de "terrorismo travestido" que ainda aterroriza e intranquiliza a população	4
Atualmente consta-se muito se o Brasil tem razões para temer um ataque terrorista, pois será realizada no Brasil eventos importantíssimo , onde o país precisa está preparado para uma série de coisas que podem ocorrer, durante a copa das confederações e do mundo , além do mais e necessário exalar preocupações sobre a população. Vale ressaltar, que é muito preocupante o ataque de terrorista , durante a copa das confederações e do mundo , pois eventos iguais a esses a uma grande aglomeração de pessoas de todos os cantos do mundo, atraindo dezenas de autoridades fazendo com que terrorista atraia o olhar para o Brasil. E importante dizer que a segurança durante esses eventos é indispensável, onde pessoas de todas nações estará com os olhares voltados para o Brasil, sendo que quanto maior a visibilidade maior a comoção diante de tragédias e é isto o que os terrorista buscam. Tendo em vista os argumentos apresentados, podemos concluir que o Brasil tem razoes para temer o terrorismo, assim o país precisa está preparado para qualquer ataque terrorista e buscar trazer segurança para todos durante a copa das confederações e do mundo pra quer todos, possam ter uma boa impressão sobre o  Brasil.	3
